,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.932,103.79480607807636,0.944,0.92,0.932806324110672,0.921875,dataset_12
0,0.936,89.60501269996166,0.936,0.936,0.936,0.936,dataset_6
0,0.924,109.09303578734398,0.936,0.912,0.924901185770751,0.9140625,dataset_1
0,0.944,92.46873562037945,0.924,0.964,0.9428571428571428,0.9625,dataset_9
0,0.942,92.08266143500805,0.936,0.948,0.9416498993963782,0.9473684210526315,dataset_7
0,0.932,94.78633917868137,0.92,0.944,0.9311740890688259,0.9426229508196722,dataset_3
0,0.942,89.37439355254173,0.94,0.944,0.9418837675350702,0.9437751004016064,dataset_20
0,0.934,99.531794115901,0.936,0.932,0.9341317365269461,0.9322709163346613,dataset_2
0,0.928,94.04146340489388,0.924,0.932,0.927710843373494,0.9314516129032258,dataset_10
0,0.934,108.25173924863338,0.964,0.904,0.9359223300970874,0.909433962264151,dataset_17
0,0.92,103.6041540056467,0.948,0.892,0.9221789883268483,0.8977272727272727,dataset_13
0,0.924,107.19211980700493,0.948,0.9,0.92578125,0.9045801526717557,dataset_4
0,0.922,103.22167117893696,0.932,0.912,0.9227722772277228,0.9137254901960784,dataset_16
0,0.928,89.69012321531773,0.92,0.936,0.9274193548387096,0.9349593495934959,dataset_14
0,0.922,107.3318846821785,0.956,0.888,0.9245647969052224,0.8951310861423221,dataset_15
0,0.922,103.64534892141819,0.932,0.912,0.9227722772277228,0.9137254901960784,dataset_19
0,0.932,103.11624106764793,0.936,0.928,0.9322709163346613,0.9285714285714286,dataset_18
0,0.936,90.26280464231968,0.936,0.936,0.936,0.936,dataset_11
0,0.938,95.85563741624355,0.936,0.94,0.9378757515030061,0.9397590361445783,dataset_8
0,0.93,105.16503444314003,0.948,0.912,0.931237721021611,0.915057915057915,dataset_5
