,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.774,213.19593715667725,0.996,0.552,0.8150572831423896,0.6897506925207756,dataset_12
0,0.802,195.9181628227234,0.992,0.612,0.8336134453781513,0.7188405797101449,dataset_6
0,0.768,230.63330057263374,0.996,0.54,0.8110749185667753,0.6840659340659341,dataset_1
0,0.794,211.45451593399048,0.996,0.592,0.8286189683860233,0.7094017094017094,dataset_9
0,0.774,226.52830559015274,1.0,0.548,0.8156606851549756,0.6887052341597796,dataset_7
0,0.714,269.37236300110817,1.0,0.428,0.7776049766718507,0.6361323155216285,dataset_3
0,0.71,287.67496249079704,1.0,0.42,0.7751937984496124,0.6329113924050633,dataset_20
0,0.744,257.88432571291924,1.0,0.488,0.7961783439490446,0.6613756613756614,dataset_2
0,0.782,231.4703769981861,0.996,0.568,0.8204283360790774,0.6974789915966386,dataset_10
0,0.754,244.68422773480415,1.0,0.508,0.8025682182985554,0.6702412868632708,dataset_17
0,0.774,225.06189161539078,0.996,0.552,0.8150572831423896,0.6897506925207756,dataset_13
0,0.774,226.52830559015274,1.0,0.548,0.8156606851549756,0.6887052341597796,dataset_4
0,0.798,216.69460767507553,1.0,0.596,0.831946755407654,0.7122507122507122,dataset_16
0,0.784,214.94445517659187,1.0,0.568,0.8223684210526315,0.6983240223463687,dataset_14
0,0.794,215.3053308725357,0.996,0.592,0.8286189683860233,0.7094017094017094,dataset_15
0,0.8,207.74361631274223,0.992,0.608,0.8322147651006712,0.7167630057803468,dataset_19
0,0.83,180.7274393439293,0.992,0.668,0.8537005163511188,0.7492447129909365,dataset_18
0,0.792,213.99063658714294,1.0,0.584,0.8278145695364238,0.7062146892655368,dataset_11
0,0.73,266.6475770175457,1.0,0.46,0.7874015748031497,0.6493506493506493,dataset_8
0,0.774,226.52830559015274,1.0,0.548,0.8156606851549756,0.6887052341597796,dataset_5
